Sample_ID,sample_number,top_cm,age_yrBP,Pinus hap,Pinus dip,Pinus undiff,Picea,Abies,Pseudotsuga/Larix,Juniperus-type,Tsuga heterophylla,Tsuga mertensiana,Taxus brevifolia,Myrica,Ericaceae,Alnus,Alnus rubra-type,Alnus sinuata-type,Corylus,Betula,Salix,P. balsamifera-type,P. tremuloides-type,Populus undiff.,Fraxinus,Quercus,Sambucus,Acer incana,Rosaceae,Prunus,Spiraea,Amelanchier,Rubus,Potentilla,Ceanothus,Shepherdia,Eleagnus argentea-type,Rhus,Arceuthobium,Ephedra,Sarcobatus,Unknown betuloid,Other trees and shrubs,Cereal-type,Poaceae,Cyperaceae,Artemisia,Ambrosia-type,Iva ciliata-type,Iva xanthifolia-type,Bidens-type,Other Tubuliflorae,Liguliflorae,Chenopodiineae,Salsola-type,Other Ranuncula,Thalictrum,Umbelliferae,Brassicaceae,Caryophyllaceae,Other Polygonaceae,Polygonum bistortoides,Polygonum californicum-type,Eriogonum,Rumex,Onagraceae,Galium,Lamiaceae,Berberis,Scrophulariaceae-type,Saxifragaceae,Fabaceae,Liliaceae,Camassia-type,Caprifoliaceae,Plantago,Plantago-unknown,Valeriana,Phlox-type,Gilia-type,Sphaeralcea,Linum,Dodecatheon-type,Urtica-type,Other herbs,C Pteridium-type,Dryopteris-type,Lycopodium,Botrychium-type,Selaginella densa-type,Indeterminate-type,Unknown,Equisetum,Sparganium-type,Typha latifolia,Sparganium-type,Potamogeton,Myriophyllum,Ruppia,Sagittaria,Nuphar,Brasenia,Polygonum amphibium-type,Lemna,Menyanthes,Isoetes
CH071B,307,172,1068,0,51.8,28.53,3.05,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.55,0,0,0,0,1.39,0,0,0.28,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0.28,0,8.86,0.28,0,0,0,0.55,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH071B,322,179.5,1132,0,50.63,25.57,3.04,0.51,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0.51,0,0,0,0,0,0,0,12.15,1.27,0,0,0,0.25,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,
CH102B,125,208.5,1407,0.3,45.97,19.79,1.98,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0.3,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,2.74,0,0,0,2.44,0.61,14,1.83,0,0,0,1.22,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102B,175,233.5,1639,1.15,42.15,26.1,9.01,1.27,0.92,0.23,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0.23,0,0.92,0,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,2.31,1.15,9.7,0.46,0,0,0,0.46,0.46,1.62,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102C,25,258.5,1800,0.78,38.91,27.11,5.97,0,0,0.26,0,0,0,0,0,0,0,1.04,0,0.26,0.78,0,0,0,0,2.85,0,0,0,0,0,0.26,0,0,0,0,0,0,0.26,0,0.78,0,0,0,1.82,1.04,9.6,1.56,0,0,0,1.3,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102C,75,283.5,1925,1.78,51.4,25.32,4.83,0.64,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.51,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,1.53,0.25,5.6,1.02,0,0,0,0.51,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102C,120,306,2078,1.13,60.93,25.53,2.54,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0.85,0.85,2.82,0.28,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102C,175,333.5,2300,0.26,41.28,30.9,4.23,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.26,1.28,0,0,0,2.31,1.03,10.26,1.28,0,0,0,1.03,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,
CH102D,25,358.5,2466,2.06,45.58,30.18,6.3,1.33,0,2.18,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,1.21,0.97,2.91,0.97,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,
CH102D,75,383.5,2587,0.58,42.77,33.53,3.18,0,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0.29,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,1.73,0.87,7.51,0.58,0,0,0,0.29,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,
