sampleCm,calAge,calAgeUci,calAgeLci,sedAcc,sedAccUci,sedAccLci,sampleRes,sampleResUci,sampleResLci
69.2,295.84,337.41,237.3,0.154,0.208,0.126,3.26,3.97,2.4
69.7,299.16,341.12,239.94,0.152,0.206,0.125,3.94,4.79,2.92
70.3,303.17,345.57,242.96,0.151,0.203,0.124,3.32,4.02,2.46
70.8,306.54,349.09,245.78,0.149,0.2,0.123,3.35,4.05,2.5
71.3,309.93,352.68,248.77,0.148,0.197,0.123,3.38,4.07,2.54
71.8,313.35,356.24,251.78,0.147,0.194,0.122,3.4,4.09,2.58
72.3,316.78,359.73,254.71,0.146,0.191,0.122,3.43,4.11,2.62
72.8,320.24,363.19,257.68,0.145,0.189,0.121,3.45,4.13,2.64
73.3,323.71,366.73,260.65,0.144,0.187,0.121,3.47,4.14,2.67
73.8,327.21,370.49,263.57,0.143,0.185,0.12,3.49,4.16,2.7
74.3,330.73,373.97,266.53,0.142,0.183,0.12,4.22,5.02,3.28
74.9,334.97,378.19,270.15,0.141,0.18,0.119,3.54,4.19,2.77
75.4,338.53,381.89,273.16,0.141,0.178,0.119,3.56,4.2,2.8
75.9,342.1,385.57,276.21,0.14,0.177,0.119,3.58,4.21,2.83
76.4,345.7,389.56,279.34,0.139,0.174,0.118,3.6,4.23,2.87
76.9,349.31,393.57,282.55,0.138,0.172,0.118,3.62,4.24,2.91
77.4,352.93,397.47,285.89,0.137,0.169,0.117,3.64,4.26,2.95
77.9,356.58,401.42,289.16,0.136,0.167,0.117,3.66,4.26,2.99
78.4,360.24,405.44,292.4,0.136,0.165,0.117,3.68,4.28,3.03
78.9,363.91,409.23,295.54,0.135,0.164,0.116,4.45,5.15,3.67
79.5,368.34,413.77,299.94,0.134,0.162,0.116,3.73,4.3,3.09
80,372.05,417.86,303.59,0.133,0.16,0.116,3.75,4.31,3.13
80.5,375.77,421.76,307.12,0.133,0.158,0.116,3.77,4.32,3.16
81,379.51,425.58,310.6,0.132,0.157,0.115,3.78,4.35,3.19
81.5,383.26,429.39,313.93,0.132,0.155,0.115,3.79,4.35,3.22
82,387.02,433.2,317.39,0.131,0.154,0.114,3.81,4.37,3.25
82.5,390.79,437,321,0.13,0.152,0.114,3.83,4.38,3.28
83,394.58,440.79,324.59,0.13,0.151,0.114,3.85,4.4,3.3
83.5,398.37,444.59,328.28,0.129,0.151,0.113,3.87,4.42,3.32
84,402.18,448.38,332.19,0.129,0.149,0.113,3.89,4.43,3.35
84.5,405.99,452.17,335.94,0.128,0.149,0.112,3.9,4.46,3.36
85,409.81,455.95,339.78,0.128,0.149,0.112,3.91,4.48,3.36
85.5,413.64,459.72,343.72,0.127,0.149,0.111,3.92,4.49,3.36
86,417.48,463.63,347.78,0.127,0.149,0.111,3.94,4.5,3.35
86.5,421.32,467.34,351.87,0.126,0.149,0.111,3.95,4.52,3.35
87,425.18,470.85,356.01,0.126,0.149,0.11,3.97,4.53,3.35
87.5,429.04,474.17,360.25,0.126,0.149,0.11,3.98,4.56,3.35
88,432.9,477.61,364.55,0.125,0.149,0.109,3.99,4.59,3.35
88.5,436.78,481.1,368.78,0.125,0.149,0.108,4,4.61,3.36
89,440.66,484.91,372.89,0.125,0.148,0.108,4.01,4.63,3.37
89.5,444.54,489.08,377.08,0.125,0.149,0.107,4.02,4.66,3.36
90,448.43,493.26,381.66,0.124,0.148,0.107,4.03,4.69,3.37
90.5,452.33,497.02,386.25,0.124,0.149,0.106,4.04,4.71,3.36
91,456.24,500.7,390.93,0.123,0.149,0.105,4.05,4.74,3.36
91.5,460.14,504.12,395.64,0.123,0.149,0.105,4.06,4.77,3.35
92,464.06,507.53,399.81,0.123,0.149,0.104,4.07,4.79,3.35
92.5,467.97,511.01,403.94,0.123,0.15,0.104,4.07,4.81,3.34
93,471.9,514.78,408.65,0.123,0.15,0.104,4.08,4.83,3.33
93.5,475.82,518.47,413.54,0.122,0.15,0.103,4.09,4.85,3.32
94,479.75,522.06,418.43,0.122,0.151,0.102,4.1,4.89,3.32
94.5,483.69,525.65,423.34,0.122,0.151,0.102,4.1,4.9,3.31
95,487.63,529.22,428.27,0.122,0.151,0.102,4.11,4.92,3.32
95.5,491.57,532.75,433.2,0.122,0.151,0.101,4.11,4.94,3.32
96,495.51,536.53,437.94,0.121,0.151,0.101,4.12,4.95,3.31
96.5,499.46,540.38,442.5,0.121,0.151,0.1,4.12,4.98,3.31
97,503.41,543.95,446.97,0.121,0.151,0.1,4.13,5,3.3
97.5,507.36,547.5,451.4,0.121,0.152,0.1,4.12,5.02,3.3
98,511.31,550.91,456.42,0.121,0.152,0.099,4.12,5.03,3.29
98.5,515.27,554.59,461.26,0.121,0.152,0.099,4.12,5.04,3.29
99,519.22,558.45,465.94,0.121,0.152,0.099,4.12,5.05,3.28
99.5,523.18,562.24,470.43,0.121,0.153,0.099,4.12,5.06,3.28
100,527.14,565.91,474.86,0.121,0.153,0.099,4.12,5.07,3.27
100.5,531.1,569.72,479.26,0.122,0.153,0.098,4.11,5.08,3.27
101,535.06,573.4,483.44,0.122,0.153,0.098,4.11,5.09,3.27
101.5,539.02,577.25,487.71,0.121,0.153,0.098,4.12,5.1,3.27
102,542.98,580.87,491.82,0.121,0.153,0.098,4.12,5.11,3.26
102.5,546.94,584.42,496.42,0.121,0.153,0.098,4.12,5.12,3.26
103,550.9,587.97,501.36,0.121,0.153,0.098,4.12,5.12,3.26
103.5,554.86,591.58,506.17,0.122,0.153,0.098,4.11,5.12,3.26
104,558.82,595.17,511.24,0.122,0.153,0.098,4.11,5.12,3.26
104.5,562.78,598.98,515.6,0.122,0.154,0.098,4.11,5.12,3.25
105,566.73,603.21,519.87,0.122,0.154,0.098,4.11,5.12,3.25
105.5,570.68,606.86,524.12,0.122,0.154,0.098,4.1,5.11,3.25
106,574.64,610.53,529.09,0.122,0.154,0.098,4.1,5.11,3.25
106.5,578.59,614.67,533.52,0.122,0.154,0.098,4.1,5.11,3.24
107,582.53,618.67,537.84,0.122,0.154,0.098,4.09,5.1,3.24
107.5,586.48,622.64,542.49,0.122,0.154,0.098,4.08,5.08,3.24
108,590.42,626.65,547.06,0.123,0.154,0.099,4.08,5.06,3.24
108.5,594.36,630.55,551.79,0.123,0.155,0.099,4.07,5.06,3.23
109,598.29,634.39,556.6,0.123,0.155,0.099,4.06,5.05,3.23
109.5,602.22,638.1,561.46,0.123,0.155,0.099,4.06,5.04,3.22
110,606.15,641.99,565.72,0.123,0.156,0.1,4.05,5.02,3.21
110.5,610.07,645.56,570.37,0.124,0.157,0.1,4.05,5.01,3.19
111,613.99,649.05,575.28,0.124,0.157,0.1,4.04,5.01,3.19
111.5,617.9,652.52,579.83,0.124,0.157,0.1,4.03,5.01,3.18
112,621.81,656.7,584.2,0.124,0.157,0.1,4.02,5,3.18
112.5,625.72,661.04,589.01,0.125,0.158,0.101,4.01,4.97,3.17
113,629.62,664.94,593.82,0.125,0.159,0.101,4.01,4.95,3.15
113.5,633.51,668.88,598.67,0.125,0.159,0.101,4,4.95,3.14
114,637.39,672.49,603.4,0.125,0.159,0.101,3.99,4.93,3.14
114.5,641.28,675.94,607.88,0.126,0.159,0.102,3.97,4.92,3.14
115,645.15,679.68,612,0.126,0.16,0.102,3.96,4.9,3.13
115.5,649.02,683.94,616.53,0.127,0.16,0.102,3.94,4.89,3.12
116,652.88,688.15,620.54,0.127,0.161,0.103,3.93,4.87,3.1
116.5,656.73,691.88,624.47,0.128,0.162,0.103,3.92,4.84,3.09
117,660.58,695.49,627.97,0.128,0.163,0.103,3.91,4.83,3.08
117.5,664.41,699.25,631.87,0.128,0.163,0.104,3.9,4.82,3.06
118,668.25,703.38,635.9,0.129,0.164,0.104,3.88,4.8,3.05
118.5,672.07,707.41,639.91,0.129,0.165,0.105,3.86,4.78,3.04
119,675.88,711.55,643.92,0.13,0.166,0.105,3.84,4.75,3.02
119.5,679.69,715.36,647.4,0.131,0.167,0.105,3.83,4.74,3
120,683.48,719.43,650.85,0.131,0.168,0.106,3.82,4.72,2.98
120.5,687.27,723.26,654.46,0.132,0.168,0.106,3.8,4.71,2.97
121,691.05,727.12,658.27,0.132,0.169,0.107,3.78,4.69,2.96
121.5,694.82,731.66,661.67,0.133,0.17,0.107,3.76,4.68,2.95
122,698.58,735.91,665.34,0.133,0.171,0.107,3.75,4.66,2.92
122.5,702.33,739.93,669.55,0.134,0.172,0.108,3.73,4.64,2.9
123,706.07,743.91,673.63,0.135,0.173,0.108,3.71,4.64,2.88
123.5,709.8,748.2,677.51,0.135,0.174,0.108,3.7,4.62,2.87
124,713.52,752.18,681.21,0.136,0.175,0.109,3.68,4.59,2.86
124.5,717.22,756.14,684.81,0.136,0.176,0.109,3.67,4.57,2.85
125,720.92,760.09,688.17,0.137,0.177,0.11,3.66,4.55,2.83
125.5,724.61,763.69,691.82,0.137,0.178,0.11,3.64,4.54,2.82
126,728.28,767.27,694.96,0.138,0.179,0.11,3.63,4.53,2.8
126.5,731.95,770.83,698.04,0.138,0.18,0.111,3.62,4.52,2.79
127,735.6,774.94,701.48,0.139,0.18,0.111,3.61,4.51,2.78
127.5,739.25,779.01,705.2,0.139,0.181,0.111,3.6,4.49,2.76
128,742.88,782.89,708.46,0.139,0.182,0.112,3.59,4.48,2.75
128.5,746.51,786.93,711.57,0.14,0.182,0.112,3.58,4.46,2.74
129,750.13,791.25,714.61,0.14,0.183,0.112,3.57,4.44,2.73
129.5,753.74,795.56,717.98,0.14,0.184,0.113,3.57,4.44,2.72
130,757.35,799.64,721.55,0.141,0.184,0.113,3.55,4.43,2.71
130.5,760.94,803.72,724.5,0.141,0.185,0.113,3.54,4.41,2.7
131,764.53,807.91,727.34,0.142,0.186,0.114,3.53,4.39,2.68
131.5,768.11,811.22,730.81,0.142,0.187,0.114,3.53,4.37,2.68
132,771.69,815.31,734.49,0.142,0.188,0.114,3.52,4.37,2.65
132.5,775.26,818.95,737.83,0.142,0.189,0.115,3.52,4.36,2.64
133,778.83,822.38,740.72,0.142,0.19,0.115,3.51,4.35,2.63
133.5,782.39,826.31,743.59,0.143,0.19,0.115,3.5,4.34,2.63
134,785.94,830.21,746.45,0.143,0.191,0.115,3.49,4.33,2.62
134.5,789.49,834.15,749.32,0.143,0.191,0.115,3.49,4.33,2.62
135,793.04,838.08,752.36,0.143,0.191,0.116,3.49,4.33,2.61
135.5,796.59,841.65,755.71,0.144,0.192,0.116,3.48,4.33,2.61
136,800.13,844.86,759.06,0.144,0.192,0.116,3.47,4.32,2.61
136.5,803.66,848.6,762.06,0.144,0.192,0.116,3.46,4.31,2.6
137,807.2,852.64,764.99,0.145,0.193,0.116,3.46,4.3,2.59
137.5,810.73,856.9,767.94,0.145,0.193,0.117,3.45,4.29,2.59
138,814.26,860.8,770.82,0.145,0.193,0.117,3.45,4.28,2.6
138.5,817.79,864.4,773.81,0.145,0.193,0.117,3.45,4.28,2.59
139,821.32,867.68,776.6,0.145,0.193,0.117,3.44,4.27,2.6
139.5,824.84,871.48,779.5,0.145,0.192,0.118,3.44,4.25,2.6
140,828.37,875.53,782.41,0.146,0.192,0.118,3.43,4.24,2.6
140.5,831.9,879.59,785.42,0.146,0.192,0.118,3.43,4.24,2.6
141,835.43,883.61,788.81,0.146,0.191,0.118,3.42,4.22,2.61
141.5,838.95,887.61,792.37,0.146,0.191,0.119,3.42,4.21,2.61
142,842.48,891.57,795.34,0.146,0.192,0.119,3.42,4.2,2.61
142.5,846.01,895.17,798.25,0.146,0.191,0.119,3.42,4.19,2.62
143,849.54,898.8,801.39,0.146,0.191,0.12,3.42,4.18,2.62
143.5,853.08,902.72,804.72,0.146,0.191,0.12,3.42,4.16,2.62
144,856.62,906.52,807.74,0.146,0.191,0.12,3.42,4.16,2.62
144.5,860.16,910.32,811.11,0.146,0.191,0.12,3.43,4.15,2.62
145,863.7,914.25,814.16,0.146,0.19,0.121,3.43,4.15,2.64
145.5,867.25,917.94,817.24,0.146,0.189,0.121,3.44,4.13,2.65
146,870.8,921.61,820.33,0.145,0.188,0.121,3.44,4.13,2.65
146.5,874.35,925.4,823.34,0.145,0.188,0.121,3.44,4.13,2.66
147,877.91,929.08,826.28,0.145,0.187,0.121,3.44,4.12,2.67
147.5,881.48,933.01,829.51,0.145,0.186,0.121,3.44,4.12,2.68
148,885.05,937.06,832.48,0.145,0.185,0.122,3.45,4.11,2.7
148.5,888.62,941.03,835.48,0.145,0.183,0.122,3.46,4.1,2.73
149,892.2,944.81,838.6,0.144,0.182,0.122,3.47,4.09,2.75
149.5,895.79,948.36,841.8,0.144,0.181,0.122,3.48,4.08,2.77
150,899.39,951.89,845.15,0.143,0.18,0.122,3.48,4.09,2.78
150.5,902.99,955.51,848.66,0.143,0.179,0.122,3.49,4.09,2.79
151,906.6,959.32,851.78,0.143,0.178,0.122,3.5,4.1,2.82
151.5,910.22,962.92,854.88,0.142,0.177,0.122,3.51,4.1,2.82
152,913.85,966.45,858.03,0.142,0.176,0.122,3.52,4.1,2.84
